# Men's internationals - 1-2 Nov								
South Africa	Japan	home	standard	0.28	0.66	0.01	0.05	0
#								
# Autumn series - 1-2 Nov								
England	Australia	home	standard	1	0
Scotland	USA	home	standard	0.28	0.66	0.01	0.05	0
Ireland	New Zealand	home	standard	0.11	0.39	0.01	0.36	0.13
# 								
# Men's internationals - 8-9 Nov								
Georgia	USA	home	standard	0.22	0.49	0.01	0.19	0.09
Portugal	Uruguay	home	standard	0.15	0.39	0.01	0.33	0.12
Colombia	Mexico	home	standard	0.19	0.33	0.01	0.33	0.14
Romania	Canada	home	standard	0.21	0.41	0.01	0.25	0.12
# 								
# Autumn series - 8-9 Nov								
Ireland	Japan	home	standard	0.21	0.59	0.01	0.18	0.01
Scotland	New Zealand	home	standard	0.05	0.17	0.01	0.4	0.37
Italy	Australia	home	standard	1	0
England	Fiji	home	standard	0.23	0.61	0.01	0.14	0.01
France	South Africa	home	standard	0.14	0.41	0.01	0.38	0.06
Wales	Argentina	home	standard	0.09	0.28	0.01	0.41	0.21
# 								
# RWC qualifier - 8 Nov								
Samoa	Brazil	neutral	standard	0.19	0.55	0.01	0.21	0.04
Belgium	Namibia	neutral	standard	0.11	0.51	0.01	0.28	0.09
# 								
# RWC qualifier - 13 Nov								
Belgium	Brazil	neutral	standard	0.15	0.49	0.01	0.27	0.08
Samoa	Namibia	neutral	standard	0.12	0.51	0.01	0.27	0.09
#								
# Men's internationals - 15-16 Nov								
Georgia	Canada	home	standard	0.22	0.63	0.01	0.11	0.03
Portugal	Hong Kong China	home	standard	0.21	0.57	0.01	0.17	0.04
Romania	USA	home	standard	0.13	0.36	0.01	0.41	0.09
# 								
# Autumn series - 15-16 Nov								
Italy	South Africa	home	standard	0.05	0.19	0.01	0.54	0.21
England	New Zealand	home	standard	0.12	0.39	0.01	0.39	0.09
Wales	Japan	home	standard	0.09	0.38	0.01	0.37	0.15
France	Fiji	home	standard	0.25	0.55	0.01	0.17	0.02
Ireland	Australia	home	standard	0	1
Scotland	Argentina	home	standard	0.15	0.37	0.01	0.36	0.11
# 								
# RWC qualifier - 18 Nov								
Namibia	Brazil	neutral	standard	0.15	0.41	0.01	0.32	0.11
Samoa	Belgium	neutral	standard	0.15	0.41	0.01	0.32	0.11
# 								
# Men's internationals - 22-23 Nov								
Romania	Uruguay	home	standard	0.13	0.36	0.01	0.41	0.09
Portugal	Canada	home	standard	0.21	0.57	0.01	0.17	0.04
Spain	Fiji	home	standard	0.09	0.27	0.01	0.41	0.22
# 								
# Autumn series - 22-23 Nov								
Georgia	Japan	home	standard	0.08	0.47	0.01	0.41	0.03
Wales	New Zealand	home	standard	0.01	0.06	0.01	0.55	0.37
Ireland	South Africa	home	standard	0.15	0.41	0.01	0.35	0.08
France	Australia	home	standard	1	0
Italy	Chile	home	standard	0.23	0.53	0.01	0.21	0.02
Scotland	Tonga	home	standard	0.29	0.61	0.01	0.08	0.01
England	Argentina	home	standard	0.15	0.41	0.01	0.31	0.12
# 								
# Autumn series - 30 Nov								
Wales	South Africa	home	standard	0.02	0.09	0.01	0.53	0.35
