South Africa	91.62
Ireland	89.83
New Zealand	89.10
France	87.82
England	87.64
Argentina	84.40
Australia	83.85
Scotland	81.57
Fiji	81.16
Italy	77.77
Georgia	74.69
Wales	74.05
Japan	73.61
Spain	69.12
Samoa	68.49
USA	67.40
Tonga	66.66
Uruguay	66.59
Portugal	66.44
Chile	65.17
Romania	62.67
Belgium	61.20
Hong Kong China	59.98
Canada	59.20
Zimbabwe	58.80
Netherlands	57.01
Namibia	56.97
Brazil	55.90
Switzerland	55.26
Poland	54.06
Sweden	52.93
Russia	52.06
Czechia	50.89
Germany	50.37
Kenya	50.09
Korea	49.29
Mexico	48.50
Paraguay	48.35
Morocco	47.54
United Arab Emirates	47.45
Croatia	46.74
Colombia	46.17
Algeria	45.82
Madagascar	45.76
Senegal	45.72
Tunisia	45.56
Sri Lanka	45.53
Cayman Islands	45.38
Trinidad & Tobago	45.18
Uganda	45.12
Malta	44.75
Ukraine	44.30
Philippines	44.11
Malaysia	43.36
Lithuania	43.06
Luxembourg	42.30
Israel	41.69
Kazakhstan	40.49
Moldova	40.41
Denmark	39.99
Jamaica	39.88
Singapore	39.64
Latvia	39.58
Zambia	39.24
Chinese Taipei	39.12
Cook Islands	39.11
Cote D'Ivoire	39.06
Guyana	39.02
Barbados	38.50
Bulgaria	38.41
Thailand	37.69
Serbia	37.55
Austria	37.51
Bermuda	37.20
Finland	37.11
Nigeria	36.82
Venezuela	36.78
Botswana	36.21
Peru	35.05
St Vincent and the Grenadines	35.05
Slovenia	34.58
Hungary	34.47
Ghana	34.38
Andorra	34.31
Turkey	32.39
India	31.83
Qatar	31.31
Burkina Faso	31.05
Guam	30.38
Pakistan	30.13
Iran	30.00
Costa Rica	29.75
China	28.91
Bosnia & Herzegovina	28.36
St Lucia	27.71
Papua New Guinea	27.68
Bahamas	27.46
Eswatini	26.04
Uzbekistan	25.28
Norway	24.58
Mauritius	24.56
Laos	24.00
Nepal	24.00
Rwanda	23.78
Cameroon	23.12
Niue Island	22.63
Burundi	20.16
Solomon Islands	17.97
Indonesia	15.95
Monaco	11.17
Greece	10.55
Vanuatu	9.29
American Samoa	7.53
