England	97.56
Canada	89.77
New Zealand	88.74
France	85.92
Ireland	79.17
Australia	76.31
Italy	76.06
Scotland	75.33
Wales	72.18
USA	72.05
Japan	68.83
South Africa	68.04
Spain	63.31
Fiji	59.98
Samoa	59.72
Hong Kong China	57.56
Netherlands	57.42
Russia	55.1
Kazakhstan	53.88
Kenya	50.68
Sweden	49.31
Germany	49.03
Portugal	48.12
Belgium	47.28
Brazil	45.96
Tonga	43.53
China	43.34
Mexico	43.2
Uganda	42.68
Trinidad & Tobago	42.43
Madagascar	42.34
Croatia	41.96
Finland	41.78
Colombia	41.68
Andorra	40.89
Tunisia	40.84
Cameroon	40.7
Jamaica	39.98
Latvia	39.94
Romania	39.86
Czechia	38.56
Bulgaria	36.23
Norway	35.89
Papua New Guinea	35.41
Denmark	34.68
Singapore	34.06
Zambia	33.95
Guyana	33.63
Senegal	33.16
Zimbabwe	32.71
Bosnia & Herzegovina	32
India	31.6
Thailand	30.35
Cote D'Ivoire	29.85
Switzerland	29.46
Uzbekistan	29.4
Burkina Faso	29.32
Cayman Islands	28.95
Botswana	27.3
Philippines	27.16
Luxembourg	26.83
Namibia	26.14
Serbia	25.79
Barbados	24.06
St Vincent and the Grenadines	22.71
Bahamas	21.67
